Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_100_100_hill_2,Random_100,2,100,HILL,13987.27782750271,15295.679923413403,16604.0820193241,30591.35984682681,47195.44186615091,1.386650323867798
random_100_100_ga_2,Random_100,2,100,GA,36159.03265244306,36615.16333975787,37071.29402707268,73230.32667951574,110301.6207065884,155.12436985969543
random_100_100_aco_2,Random_100,2,100,ACO,10505.13090967469,11306.235817693385,12107.34072571208,22612.47163538677,34719.81236109885,142.98900246620178
random_100_100_tabu_2,Random_100,2,100,TABU,13024.934679481075,13168.423939363773,13311.913199246466,26336.847878727545,39648.76107797401,135.09525227546692
random_100_100_hill_3,Random_100,3,100,HILL,10806.852968596771,11553.77652849974,12393.372159646698,34661.32958549922,47054.70174514592,1.4223148822784424
random_100_100_ga_3,Random_100,3,100,GA,17940.034727181202,22410.72557727213,25789.34866574973,67232.17673181639,93021.52539756612,152.93761706352234
random_100_100_aco_3,Random_100,3,100,ACO,6626.768254673724,8128.439822499477,10331.94600482492,24385.31946749844,34717.26547232336,144.97729659080505
random_100_100_tabu_3,Random_100,3,100,TABU,12465.827664977038,13134.189536108091,13804.778789856568,39402.56860832428,53207.34739818084,135.4404067993164
random_100_100_hill_5,Random_100,5,100,HILL,2932.507448743864,6510.7184317634765,7940.126221419137,32553.592158817384,40493.71838023652,1.454960584640503
random_100_100_ga_5,Random_100,5,100,GA,11023.508171887204,12848.341868008947,14687.130843021454,64241.70934004475,78928.8401830662,156.74039316177368
random_100_100_aco_5,Random_100,5,100,ACO,3373.614509835641,4750.01941083782,7878.313419003463,23750.0970541891,31628.41047319256,151.87050890922546
random_100_100_tabu_5,Random_100,5,100,TABU,8919.292067288237,10663.982186288378,11374.581149499289,53319.91093144189,64694.49208094118,141.72038650512695
