Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score
blocks_14_hill_3,Blocks,3,14,HILL,372.9126052856445,389.915205637614,417.3780174255371,1169.7456169128418,1587.123634338379
blocks_14_ga_3,Blocks,3,14,GA,286.6371765136719,395.0506782531738,473.6586837768554,1185.1520347595217,1658.810718536377
blocks_14_aco_3,Blocks,3,14,ACO,372.0610008239746,389.3789342244466,417.5952301025391,1168.1368026733398,1585.732032775879
blocks_14_tabu_3,Blocks,3,14,TABU,372.0610008239746,389.3789342244466,417.5952301025391,1168.1368026733398,1585.732032775879
neighbourhood_22_hill_3,Neighbourhood,3,22,HILL,509.1517372131348,658.3643163045248,834.8914070129395,1975.0929489135744,2809.9843559265137
neighbourhood_22_ga_3,Neighbourhood,3,22,GA,644.2715759277344,774.6347605387369,845.3125534057617,2323.904281616211,3169.2168350219727
neighbourhood_22_aco_3,Neighbourhood,3,22,ACO,511.1009292602539,611.8532333374023,727.7092819213867,1835.559700012207,2563.2689819335938
neighbourhood_22_tabu_3,Neighbourhood,3,22,TABU,507.0862731933594,588.0743649800619,665.8845443725586,1764.2230949401855,2430.107639312744
africa_30_hill_3,Africa,3,30,HILL,777.512866973877,1130.5675366719563,1632.8663482666016,3391.702610015869,5024.568958282471
africa_30_ga_3,Africa,3,30,GA,1091.9830017089844,1406.132361094157,1654.5178718566897,4218.397083282471,5872.91495513916
africa_30_aco_3,Africa,3,30,ACO,1050.1687965393066,1108.4317537943523,1150.0162200927734,3325.2952613830566,4475.31148147583
africa_30_tabu_3,Africa,3,30,TABU,888.4185752868652,1045.036329905192,1231.0552444458008,3135.108989715576,4366.164234161377
mountains_35_hill_3,Mountains,3,35,HILL,1344.7406311035156,1517.8796997070312,1644.0553550720217,4553.639099121094,6197.694454193115
mountains_35_ga_3,Mountains,3,35,GA,1827.0240325927728,1990.2396774291992,2113.7946395874023,5970.719032287598,8084.513671875
mountains_35_aco_3,Mountains,3,35,ACO,1354.4534301757812,1529.2778752644856,1834.3915786743164,4587.833625793457,6422.225204467773
mountains_35_tabu_3,Mountains,3,35,TABU,1247.8187294006348,1460.4033177693684,1598.977764129639,4381.2099533081055,5980.187717437744
