Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_20_20_hill_2,Random_20,2,20,HILL,1072.67,1166.89,1261.11,2333.78,3594.89,0.85
random_20_20_ga_2,Random_20,2,20,GA,1181.07,1234.61,1288.14,2469.21,3757.36,34.36
random_20_20_aco_2,Random_20,2,20,ACO,932.64,958.06,983.48,1916.12,2899.60,2.98
random_20_20_tabu_2,Random_20,2,20,TABU,918.05,934.03,950.00,1868.05,2818.05,30.74
random_20_20_hill_3,Random_20,3,20,HILL,378.36,735.52,1073.16,2206.55,3279.72,0.89
random_20_20_ga_3,Random_20,3,20,GA,800.99,882.15,927.52,2646.45,3573.97,34.27
random_20_20_aco_3,Random_20,3,20,ACO,460.73,714.89,844.61,2144.66,2989.28,3.59
random_20_20_tabu_3,Random_20,3,20,TABU,669.81,697.92,723.39,2093.76,2817.15,31.41
random_20_20_hill_5,Random_20,5,20,HILL,114.69,456.53,888.26,2282.63,3170.89,0.96
random_20_20_ga_5,Random_20,5,20,GA,374.73,484.28,573.40,2421.38,2994.78,38.70
random_20_20_aco_5,Random_20,5,20,ACO,300.21,481.09,590.91,2405.45,2996.36,5.02
random_20_20_tabu_5,Random_20,5,20,TABU,415.63,462.52,521.20,2312.62,2833.82,34.85
