Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_20_20_hill_2,Random_20,2,20,HILL,301.7684686275541,324.21404691648934,346.6596252054246,648.4280938329787,995.0877190384032,0.8631231784820557
random_20_20_ga_2,Random_20,2,20,GA,262.2043491242628,298.0545459627717,333.9047428012807,596.1090919255435,930.013834726824,33.615344285964966
random_20_20_aco_2,Random_20,2,20,ACO,221.32655724002453,256.19405825282166,291.0615592656188,512.3881165056433,803.449675771262,3.203478574752808
random_20_20_tabu_2,Random_20,2,20,TABU,212.983409684924,232.01856311130456,251.0537165376851,464.0371262226091,715.0908427602942,31.287862300872803
random_50_50_hill_2,Random_50,2,50,HILL,1092.0681105506949,1157.4223749462597,1222.7766393418246,2314.84474989252,3537.621389234344,1.0357630252838137
random_50_50_ga_2,Random_50,2,50,GA,1807.089210218693,1840.426123491148,1873.763036763602,3680.852246982296,5554.615283745898,78.08112621307373
random_50_50_aco_2,Random_50,2,50,ACO,709.1502772086433,894.0918803252962,1079.033483441949,1788.1837606505924,2867.217244092541,22.256516218185425
random_50_50_tabu_2,Random_50,2,50,TABU,868.9447101750292,885.8215050512873,902.6982999275456,1771.6430101025746,2674.34131003012,70.79204201698303
random_100_100_hill_2,Random_100,2,100,HILL,3311.324291006922,3863.091266354489,4414.858241702056,7726.182532708978,12141.040774411034,1.415071964263916
random_100_100_ga_2,Random_100,2,100,GA,8025.151470170606,8064.985720496443,8104.819970822278,16129.971440992886,24234.791411815164,149.10223078727722
random_100_100_aco_2,Random_100,2,100,ACO,2329.882281654038,2883.029078000658,3436.175874347278,5766.058156001316,9202.234030348594,143.11528420448303
random_100_100_tabu_2,Random_100,2,100,TABU,3424.612899582068,3428.659481033051,3432.706062484034,6857.318962066102,10290.025024550136,132.77198696136475
random_200_200_hill_2,Random_200,2,200,HILL,16083.608928853471,16871.67418334256,17659.739437831646,33743.34836668512,51403.08780451676,2.251347541809082
random_200_200_ga_2,Random_200,2,200,GA,38849.25200483632,40554.18268112038,42259.11335740444,81108.36536224076,123367.4787196452,303.8155195713043
random_200_200_aco_2,Random_200,2,200,ACO,6793.480418754999,8982.055152210729,11170.62988566646,17964.110304421458,29134.74019008792,1150.460631132126
random_200_200_tabu_2,Random_200,2,200,TABU,16053.301464249118,16206.542559560008,16359.783654870898,32413.085119120016,48772.86877399092,264.32771134376526
random_20_20_hill_3,Random_20,3,20,HILL,78.19003964336481,171.92103217849626,263.5190153392932,515.7630965354888,779.282111874782,0.8297059535980225
random_20_20_ga_3,Random_20,3,20,GA,173.5103804816127,207.29881180148985,230.4110572335105,621.8964354044696,852.30749263798,33.67521286010742
random_20_20_aco_3,Random_20,3,20,ACO,146.61830800106725,169.93381252957704,196.59230373492173,509.8014375887311,706.3937413236529,3.6299452781677246
random_20_20_tabu_3,Random_20,3,20,TABU,143.81898167005966,169.00070375257448,196.5923037349217,507.0021112577234,703.5944149926452,31.840662240982056
random_50_50_hill_3,Random_50,3,50,HILL,674.557692176867,742.0622574337527,776.5518455533418,2226.1867723012583,3002.7386178546003,1.0624163150787354
random_50_50_ga_3,Random_50,3,50,GA,1212.9037794639264,1336.0522770793225,1408.943277615972,4008.156831237967,5417.100108853939,77.94980573654175
random_50_50_aco_3,Random_50,3,50,ACO,630.4592456092442,757.9623514437526,968.3997393768266,2273.887054331258,3242.2867937080846,23.817715167999268
random_50_50_tabu_3,Random_50,3,50,TABU,816.1244327925801,850.677897917063,883.357830942044,2552.033693751189,3435.391524693233,72.3936185836792
random_100_100_hill_3,Random_100,3,100,HILL,2726.2212711445927,2892.0516428189053,3089.022509220799,8676.154928456715,11765.177437677514,1.3500568866729736
random_100_100_ga_3,Random_100,3,100,GA,4491.615550901094,5710.161085279359,6329.738217339437,17130.483255838077,23460.22147317752,153.90942430496216
random_100_100_aco_3,Random_100,3,100,ACO,1688.0269307483434,2080.630332298874,2489.940976505143,6241.890996896621,8731.831973401764,145.20703959465027
random_100_100_tabu_3,Random_100,3,100,TABU,3226.381320376434,3607.3679872860353,3816.1664322991023,10822.103961858104,14638.270394157207,135.78738594055176
random_200_200_hill_3,Random_200,3,200,HILL,9464.291507018888,12021.152673096509,14415.746285726576,36063.45801928952,50479.2043050161,2.5001485347747803
random_200_200_ga_3,Random_200,3,200,GA,25116.86683822168,25933.4664369768,26467.672192117192,77800.3993109304,104268.0715030476,297.5015540122986
random_200_200_aco_3,Random_200,3,200,ACO,4903.413635688132,6160.255564889104,7468.627865913473,18480.76669466732,25949.394560580786,1157.8695373535156
random_200_200_tabu_3,Random_200,3,200,TABU,15573.500982890742,15879.669110246516,16082.990458842674,47639.00733073955,63721.99778958222,263.3088109493256
random_20_20_hill_5,Random_20,5,20,HILL,111.21859374395898,121.15134150494946,143.15942778003156,605.7567075247473,748.9161353047789,1.0137121677398682
random_20_20_ga_5,Random_20,5,20,GA,109.5335397529494,154.45722518727172,175.0501353666104,772.2861259363586,947.336261302969,43.884790658950806
random_20_20_aco_5,Random_20,5,20,ACO,115.6368606174322,124.52696413958556,136.5399881895902,622.6348206979278,759.174808887518,5.177727699279785
random_20_20_tabu_5,Random_20,5,20,TABU,114.24047024233556,123.88487615907783,136.53998818959022,619.4243807953892,755.9643689849794,34.26820778846741
random_50_50_hill_5,Random_50,5,50,HILL,404.6892008891713,587.9945742294376,968.0155711044606,2939.972871147188,3907.988442251649,1.3597054481506348
random_50_50_ga_5,Random_50,5,50,GA,578.3416837892679,852.6132147681794,1137.976152605048,4263.066073840897,5401.042226445945,83.62638211250305
random_50_50_aco_5,Random_50,5,50,ACO,477.4703622611504,564.1070011131187,723.9680364710523,2820.5350055655936,3544.5030420366456,27.62848782539368
random_50_50_tabu_5,Random_50,5,50,TABU,631.116776296698,704.076955921105,810.7750764595716,3520.3847796055247,4331.159856065096,74.26701998710632
random_100_100_hill_5,Random_100,5,100,HILL,1422.2008591935078,1930.3385101061947,2497.6632483346675,9651.692550530974,12149.35579886564,1.5577685832977295
random_100_100_ga_5,Random_100,5,100,GA,2899.59192443382,3519.794950361357,4545.401234478654,17598.974751806785,22144.37598628544,157.89423942565918
random_100_100_aco_5,Random_100,5,100,ACO,980.1967065286624,1418.4718762479345,1705.809770063238,7092.359381239672,8798.16915130291,151.49302291870117
random_100_100_tabu_5,Random_100,5,100,TABU,2757.4855948436,2886.6873774393093,2993.9360647510102,14433.436887196547,17427.372951947556,139.7200162410736
random_200_200_hill_5,Random_200,5,200,HILL,5932.240583720459,7027.903451298787,7865.942417001737,35139.517256493935,43005.45967349567,2.3680219650268555
random_200_200_ga_5,Random_200,5,200,GA,13635.6016545474,15745.376179539127,18999.006598379416,78726.88089769564,97725.88749607504,314.0154459476471
random_200_200_aco_5,Random_200,5,200,ACO,3107.8123840949443,4038.47976143669,5672.771167921469,20192.39880718345,25865.16997510492,1208.138047456741
random_200_200_tabu_5,Random_200,5,200,TABU,11929.835327347682,12333.698189501538,12696.713496681874,61668.490947507686,74365.20444418956,271.1690194606781
