Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_20_20_hill_2,Random_20,2,20,HILL,1072.6711494543722,1166.889301249205,1261.1074530440371,2333.7786024984093,3594.8860555424462,0.8545260429382324
random_20_20_ga_2,Random_20,2,20,GA,1181.069833437983,1234.6068728204116,1288.14391220284,2469.213745640823,3757.357657843663,34.36062836647034
random_20_20_aco_2,Random_20,2,20,ACO,932.642918124284,958.0606749926152,983.4784318609464,1916.1213499852304,2899.5997818461765,2.983216047286988
random_20_20_tabu_2,Random_20,2,20,TABU,918.0471910599712,934.0254174504374,950.0036438409036,1868.0508349008749,2818.0544787417784,30.735996961593628
random_20_20_hill_3,Random_20,3,20,HILL,378.3604621253138,735.518292692965,1073.161843701289,2206.554878078895,3279.716721780184,0.8856072425842285
random_20_20_ga_3,Random_20,3,20,GA,800.9862467797918,882.1497138235105,927.5237298290866,2646.449141470532,3573.9728712996184,34.26661467552185
random_20_20_aco_3,Random_20,3,20,ACO,460.7330803526247,714.8879163101006,844.6124042745212,2144.663748930302,2989.2761532048235,3.591996431350708
random_20_20_tabu_3,Random_20,3,20,TABU,669.8074074978975,697.9205453925232,723.3905676171617,2093.761636177569,2817.152203794731,31.40761160850525
random_20_20_hill_5,Random_20,5,20,HILL,114.692089420167,456.5263278109495,888.2582960674245,2282.631639054747,3170.889935122172,0.9588308334350586
random_20_20_ga_5,Random_20,5,20,GA,374.7304336461745,484.275043835326,573.4049475390357,2421.37521917663,2994.780166715665,38.70373010635376
random_20_20_aco_5,Random_20,5,20,ACO,300.2090804895969,481.0893824558404,590.9122873204227,2405.446912279202,2996.359199599625,5.024476051330566
random_20_20_tabu_5,Random_20,5,20,TABU,415.6279344558865,462.5247776071831,521.199590267274,2312.623888035916,2833.8234783031894,34.84874081611633
random_50_50_hill_2,Random_50,2,50,HILL,4030.35219556162,4681.795205333256,5333.238215104892,9363.590410666511,14696.828625771404,1.06178879737854
random_50_50_ga_2,Random_50,2,50,GA,7225.080682649348,7429.612549168431,7634.144415687513,14859.22509833686,22493.369514024373,79.25240802764893
random_50_50_aco_2,Random_50,2,50,ACO,3290.7149654628874,3639.078218890171,3987.441472317454,7278.156437780342,11265.597910097797,22.97102928161621
random_50_50_tabu_2,Random_50,2,50,TABU,3428.8850702495456,3531.930531156202,3634.9759920628585,7063.861062312404,10698.837054375264,71.87624669075012
random_50_50_hill_3,Random_50,3,50,HILL,2508.657767080209,2998.067600110945,3577.990033462526,8994.202800332834,12572.19283379536,1.033172845840454
random_50_50_ga_3,Random_50,3,50,GA,4614.097356522993,5288.825109690994,5654.170525554165,15866.475329072982,21520.645854627142,80.69297361373901
random_50_50_aco_3,Random_50,3,50,ACO,2091.530663005246,2640.323477162452,3641.778395335831,7920.970431487356,11562.748826823186,23.399746656417847
random_50_50_tabu_3,Random_50,3,50,TABU,2808.113616287866,2865.2505082429057,2927.6834079551413,8595.751524728717,11523.434932683858,72.5357882976532
random_50_50_hill_5,Random_50,5,50,HILL,663.6820784820582,1811.9765101463745,2510.7864341448526,9059.882550731872,11570.668984876726,1.0700020790100098
random_50_50_ga_5,Random_50,5,50,GA,2223.637655282794,3037.3434983554303,3938.858651810264,15186.717491777152,19125.576143587416,82.99462270736694
random_50_50_aco_5,Random_50,5,50,ACO,1155.5571736655877,1752.921021804587,2073.001295145487,8764.605109022936,10837.606404168422,26.71495223045349
random_50_50_tabu_5,Random_50,5,50,TABU,2326.187182086256,2612.87578083165,2784.4632887763787,13064.37890415825,15848.842192934628,76.10914468765259
random_100_100_hill_2,Random_100,2,100,HILL,13987.27782750271,15295.679923413403,16604.0820193241,30591.35984682681,47195.44186615091,1.386650323867798
